process child ret  = 0
 CPU     ID                    FUNCTION:NAME
   0  81524             tsort_unsigned:entry 
   0  81523                      tsort:entry 
   0  81461                set_environ:entry 
   0  81333                 lookup_sym:entry 
   0  81353                   elf_hash:entry 
   0  81332                _lookup_sym:entry 
   0  81330            core_lookup_sym:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81755                     strcmp:entry 
   0  81755                     strcmp:entry 
   0  81394                     calloc:entry 
   0  81393                    _calloc:entry 
   0  81391                     malloc:entry 
   0  81390                    _malloc:entry 
   0  81389                      split:entry 
   0  81785                     memset:entry 
   0  81522                 initorfini:entry 
   0  81517                  dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81517                  dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81515                      visit:entry 
   0  81515                      visit:entry 
   0  81522                 initorfini:entry 
   0  81366              rt_get_extern:entry 
   0  81365            get_lcinterface:entry 
   0  81399                       free:entry 
   0  81272                aplist_test:entry 
   0  81548                tls_statmod:entry 
   0  81394                     calloc:entry 
   0  81393                    _calloc:entry 
   0  81391                     malloc:entry 
   0  81390                    _malloc:entry 
   0  81389                      split:entry 
   0  81785                     memset:entry 
   0  84358          __tls_static_mods:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  83851         initial_allocation:entry 
   0  84625               __systemcall:entry 
   0  84357          tls_modinfo_alloc:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  81990                     memcpy:entry 
   0  81399                       free:entry 
   0  81272                aplist_test:entry 
   0  81370                rt_thr_init:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81388                     defrag:entry 
   0  81270              aplist_delete:entry 
   0  81369              rt_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84298                  libc_init:entry 
   0  82134                     atexit:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  84587               __getcontext:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  84496                  getrlimit:entry 
   0  84492                     getpid:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  84608             ___lwp_private:entry 
   0  84388              set_curthread:entry 
   0  84142                mutex_setup:entry 
   0  82864                atfork_init:entry 
   0  82142             pthread_atfork:entry 
   0  83853                    lmalloc:entry 
   0  83852               getbucketnum:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  84202               mutex_unlock:entry 
   0  84103                signal_init:entry 
   0  83605                  setustack:entry 
   0  84624                    syscall:entry 
   0  84297            set_thread_vars:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  82001                    strncmp:entry 
   0  81367                   _ld_libc:entry 
   0  81297                     caller:entry 
   0  81470                    _caller:entry 
   0  81365            get_lcinterface:entry 
   0  82232              init_progname:entry 
   0  81501                     dlinfo:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
