./mqtest
I am in sender
0 ?--->
1 ?--->
2 ?--->
3 ?--->
4 ?--->
5 ?--->
6 ?--->
7 ?--->
8 ?--->
9 ?--->
10 ?--->
11 ?--->
12 ?--->
13 ?--->
14 ?--->
I am in receiver
---> 0
---> 1
---> 2
---> 3
---> 4
---> 5
---> 6
---> 7
---> 8
---> 9
---> 10
---> 11
---> 12
---> 13
---> 14
 CPU     ID                    FUNCTION:NAME
   2  85273             tsort_unsigned:entry 
   2  85272                      tsort:entry 
   2  85210                set_environ:entry 
   2  85082                 lookup_sym:entry 
   2  85102                   elf_hash:entry 
   2  85081                _lookup_sym:entry 
   2  85079            core_lookup_sym:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85504                     strcmp:entry 
   2  85143                     calloc:entry 
   2  85142                    _calloc:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  85534                     memset:entry 
   2  85271                 initorfini:entry 
   2  85266                  dep_visit:entry 
   2  85265                 _dep_visit:entry 
   2  85265                 _dep_visit:entry 
   2  85266                  dep_visit:entry 
   2  85265                 _dep_visit:entry 
   2  85265                 _dep_visit:entry 
   2  85264                      visit:entry 
   2  85264                      visit:entry 
   2  85271                 initorfini:entry 
   2  85266                  dep_visit:entry 
   2  85264                      visit:entry 
   2  85271                 initorfini:entry 
   2  85115              rt_get_extern:entry 
   2  85114            get_lcinterface:entry 
   2  85148                       free:entry 
   2  84760                aplist_test:entry 
   2  85297                tls_statmod:entry 
   2  85143                     calloc:entry 
   2  85142                    _calloc:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  85534                     memset:entry 
   2  88107          __tls_static_mods:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  87600         initial_allocation:entry 
   2  88374               __systemcall:entry 
   2  88106          tls_modinfo_alloc:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  85739                     memcpy:entry 
   2  85148                       free:entry 
   2  84760                aplist_test:entry 
   2  85119                rt_thr_init:entry 
   2  85208                      leave:entry 
   2  85164                   rd_event:entry 
   2  85137                     defrag:entry 
   2  84758              aplist_delete:entry 
   2  85118              rt_bind_clear:entry 
   2  85118              rt_bind_clear:entry 
   2  88047                  libc_init:entry 
   2  85883                     atexit:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  88336               __getcontext:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  88245                  getrlimit:entry 
   2  88241                     getpid:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  88357             ___lwp_private:entry 
   2  88137              set_curthread:entry 
   2  87891                mutex_setup:entry 
   2  86613                atfork_init:entry 
   2  85891             pthread_atfork:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  87952                lmutex_lock:entry 
   2  87953              lmutex_unlock:entry 
   2  87946                 mutex_lock:entry 
   2  87945            mutex_lock_impl:entry 
   2  87951               mutex_unlock:entry 
   2  87852                signal_init:entry 
   2  87354                  setustack:entry 
   2  88373                    syscall:entry 
   2  88046            set_thread_vars:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85750                    strncmp:entry 
   2  85116                   _ld_libc:entry 
   2  84785                     caller:entry 
   2  85219                    _caller:entry 
   2  85114            get_lcinterface:entry 
   2  85981              init_progname:entry 
   2  85250                     dlinfo:entry 
   2  85205                      enter:entry 
   2  85117              rt_bind_guard:entry 
   2  88074             _ti_bind_guard:entry 
   2  87946                 mutex_lock:entry 
   2  87945            mutex_lock_impl:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  84785                     caller:entry 
   2  85219                    _caller:entry 
   2  85249                dlinfo_core:entry 
   2  85208                      leave:entry 
   2  85164                   rd_event:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  87951               mutex_unlock:entry 
   2  85980                setprogname:entry 
   2  85753                    strrchr:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  87952                lmutex_lock:entry 
   2  87953              lmutex_unlock:entry 
   2  86639                    strlcpy:entry 
   2  85748                     strlen:entry 
   2  85739                     memcpy:entry 
   2  88111                  tls_setup:entry 
   2  85739                     memcpy:entry 
   2  87952                lmutex_lock:entry 
   2  87953              lmutex_unlock:entry 
   2  87562          init_sigev_thread:entry 
   2  86060                     getenv:entry 
   2  86053                    initenv:entry 
   2  87952                lmutex_lock:entry 
   2  86380                  clean_env:entry 
   2  86052                    envsize:entry 
   2  85662            membar_producer:entry 
   2  87953              lmutex_unlock:entry 
   2  85663            membar_consumer:entry 
   2  86054                    findenv:entry 
   2  87453                   init_aio:entry 
   2  88115         pthread_key_create:entry 
   2  88114              thr_keycreate:entry 
   2  87952                lmutex_lock:entry 
   2  87602                    lmalloc:entry 
   2  87601               getbucketnum:entry 
   2  87952                lmutex_lock:entry 
   2  87953              lmutex_unlock:entry 
   2  87953              lmutex_unlock:entry 
   2  86060                     getenv:entry 
   2  86053                    initenv:entry 
   2  85663            membar_consumer:entry 
   2  86054                    findenv:entry 
   2  86060                     getenv:entry 
   2  86053                    initenv:entry 
   2  85663            membar_consumer:entry 
   2  86054                    findenv:entry 
   2  86060                     getenv:entry 
   2  86053                    initenv:entry 
   2  85663            membar_consumer:entry 
   2  86054                    findenv:entry 
   2  88237                     gethrt:entry 
   2  85656             atomic_swap_32:entry 
   2  88238            get_zone_offset:entry 
   2  85656             atomic_swap_32:entry 
   2  85205                      enter:entry 
   2  85117              rt_bind_guard:entry 
   2  88074             _ti_bind_guard:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  85176                 call_array:entry 
   2  85177                  call_init:entry 
   2  85208                      leave:entry 
   2  85164                   rd_event:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
